titulo,ano,mes,dia,midia,imagem1,link
Chipados: biochips implantáveis já são realidade no Brasil,2017,fev,5,Globo News Especial,images/news/biochipglobonews.png,https://www.youtube.com/watch?v=CCiUbsgj61g
"Após ‘vestíveis’, biochips abrem nova fronteira e já têm adeptos no Brasil",2017,jan,1,O Estadão,http://img.estadao.com.br/fotos/crop/640x400/resources/jpg/9/8/1483292678889.jpg,"http://link.estadao.com.br/noticias/inovacao,apos-vestiveis-biochips-abrem-nova-fronteira-e-ja-tem-adeptos-no-brasil,10000097457"
"Com chip implantado, brasileira desafia quem quiser hackear seu corpo",2016,dez,10,Olhar Digital,images/news/olhardigital.png,http://olhardigital.uol.com.br/video/com-chip-implantado-brasileira-desafia-quem-quiser-hackear-seu-corpo/64554?fb_action_ids=1224610184284309&fb_action_types=og.comments
Moda high-tech,2016,nov,8,Vogue Brasil,http://s2.glbimg.com/HnU9GS0AvJdofX-5m61WoZdrjvk=/640x920/smart/e.glbimg.com/og/ed/f/original/2016/10/31/clara-daguin.jpg,http://vogue.globo.com/lifestyle/noticia/2016/10/moda-high-tech-festival-wear-promove-seminarios-e-oficinas-de-moda-e-tecnologia.html
"""Fablabs"" permitem que você possa criar os seus próprios produtos",2016,out,26,Jornal da Globo,images/news/jornaldaglobo.png,https://globoplay.globo.com/v/5406258/
Balanço que só funciona pela interação entre pessoas é intervenção artística,2016,out,1,For Exportation,http://forexportation.com.br/wp-content/uploads/2016/10/Balan%C3%A7o-que-s%C3%B3.jpg,http://forexportation.com.br/index.php/2016/10/01/balanco-que-so-funciona-pela-interacao-entre-pessoas-e-intervencao-artistica/
Fomos ao “porão hacker” da Red Bull Station,2016,set,2,Projeto Draft,images/news/interafetivos.jpg,http://projetodraft.com/fomos-ao-porao-hacker-da-red-bull-station-de-onde-saem-prototipos-para-resolver-problemas-urbanos/
Video Mapping: a Tecnologia da abertura e encerramento das Olimpíadas,2016,ago,24,Revista Fator Brasil,http://www.revistafatorbrasil.com.br/imagens/fotos2/lina_lopes,http://www.revistafatorbrasil.com.br/ver_noticia.php?not=326070
Na cerimônia de logo mais [olimpíadas]...,2016,ago,5,Travel 3,http://www.travel3.com.br/_uploads/_noticia/2016-08/maracanapara-jogosolimpicos.jpg,http://www.travel3.com.br/noticia.php?rio-2016--cerimonia-de-abertura-tera-video-mapping-pela-primeira-vez-11439
Museu do Amanhã exibe protótipos de experimentação tecnológica,2016,mai,1,Agência Brasil,http://agenciabrasil.ebc.com.br/sites/_agenciabrasil2013/files/styles/interna_pequena/public/prototipo_parangole_digital.jpg?itok=tyZCGSDy,http://agenciabrasil.ebc.com.br/pesquisa-e-inovacao/noticia/2016-04/museu-do-amanha-exibe-prototipos-criados-com-o-fim-de
Projeção interativa atrai entusiastas pelo Brasil,2016,abr,11,O Estadão,http://img.estadao.com.br/link/files/2016/04/Lina-Lopes-630.jpg,"http://link.estadao.com.br/noticias/cultura-digital,projecao-interativa-atrai-entusiastas-pelo-brasil,10000047891"
Casarão onde viveu a poetisa Cora Coralina está de cara nova,2016,abr,4,Jornal Nacional,images/news/casacora.png,http://g1.globo.com/jornal-nacional/noticia/2016/04/casarao-onde-viveu-poetisa-cora-coralina-esta-de-cara-nova.html
Perspectivas interativas contemporâneas,2016,mar,4,Jornal UFG,https://jornalufgonline.ufg.br/up/243/o/12631027_762170383913587_1251075702_o.jpg,https://jornalufgonline.ufg.br/n/86415-artigo-perspectivas-interativas-contemporaneas
