titulo,ano,mes,categoria,sinopse,english,imagem1,imagem2,imagem3,imagem4,externo,link
Wear-us,2016,dez,criação e mentoria,"Design Sprint para elaboração e execução de um vestível inteligente. Durante o processo o grupo optou por criar um dispositivo para a performance de uma drag queen de modo que fosse possível deformar o corpo pressionando o corpo e criando partes infladas. O material de prototipagem incluiu tecido, linha condutiva e outros materiais condutivos flexíveis.","Design Sprint for making and executing a smart dress. During the process the group chose to create a device for the performance of a drag queen so that it could deform the body by pressing the body and creating inflated parts. The prototyping material included fabric, conductive line and other flexible conductive materials.",wearus/wearus-1,wearus/wearus-2,wearus/wearus-3,wearus/wearus-4,http://www.wearus.co/,wearus
Hacking Arts,2016,nov,mentoria,"Hacking Arts é um evento do MIT em Boston voltado ao desenvolvimento de protótipos voltado ao mercado da arte e tecnologia. Consiste em uma conferência e um hackathon, uma maratona de desenvolvimento.","Hacking Arts is an MIT event in Boston dedicated to the development of prototypes aimed at the art and technology market. It consists of a conference and a hackathon, a development marathon.",hackingarts/hackingarts-1,hackingarts/hackingarts-2,hackingarts/hackingarts-3,hackingarts/hackingarts-4,http://hackingarts.com/,hackingarts
Wear Brasil,2016,nov,mentoria,Evento com palestras e workshops voltado ao tema do vestível inteligente.,Event with lectures and workshops focused on the theme of intelligent wearable.,wearbrasil/wearbrasil-1,wearbrasil/wearbrasil-2,wearbrasil/wearbrasil-3,wearbrasil/wearbrasil-4,#,wearbrasil
Interactivos?16 - Água e Autonomia,2016,nov,mentoria,Residência de 3 semanas na Serrinha do Alambarí-RJ para o desenvolvimento de 5 projetos para a localidade tendo o tema da água como linha mestre.,Technical Director of the residence of 3 weeks in Serrinha do Alambarí-RJ for the development of 5 projects for the locality having the theme of water as master line.,interactivos16/interactivos16-1,interactivos16/interactivos16-2,interactivos16/interactivos16-3,interactivos16/interactivos16-4,http://interactivos16.info/,interactivos16
FAZ - Festival de Cultura Maker,2016,out,mentoria,"Festival que reuniu os espaços makers de São Paulo (Garoa Hacker Clube, OficinaLab, Garagem FabLab, Lilo.Zone, RFLB, Sagui, RedBull Basement) durante dois dias com workshops, palestras e apresentação de protótipos.","Festival that brought together the space makers of São Paulo (Garoa Hacker Club, OficinaLab, FabLab Garage, Lilo.Zone, RFLB, Sagui, RedBull Basement) for two days with workshops, lectures and presentation of prototypes.",fazfestival/fazfestival-1,fazfestival/fazfestival-2,fazfestival/fazfestival-3,fazfestival/fazfestival-4,#,fazfestival
Touch Skin,2016,out,criação e experimentação,"Uma tatuagem temporária condutiva que ativa luzes ao longo do corpo. A pesquisa focou nas possibilidades de tintas com diversos materiais, caseiros e de laboratório para executar a tatuagem. Projeto em colaboração com Rita Wu dentro da Residência Artística e Científica do MediaLab/UFG.","A temporary conductive tattoo that activates lights along the body. The research focused on the possibilities of paints with various materials, home and laboratory to perform the tattoo. Project in collaboration with Rita Wu within the Artistic and Scientific Residence of MediaLab / UFG.",touchskin/touchskin-1,touchskin/touchskin-2,touchskin/touchskin-3,touchskin/touchskin-4,http://www.touchskin.me/,touchskin
[SW EDU] Bootcamp 1,2016,set,mediação,Debate Aberto com Educadores e Debate Aberto com Startups de Educação.,Open Debate with Educators and Open Debate with Education Startups.,bootcamp1/bootcamp1-1,bootcamp1/bootcamp1-2,bootcamp1/bootcamp1-3,bootcamp1/bootcamp1-4,https://www.sympla.com.br/bootcamp-desafios-da-educacao---startup-weekend-educacao-sp-2016__90947,bootcamp1
Balanços InterAfetivos,2016,set,intervenção e instalação interativa,Mobiliário urbano interativo que se acende ao toque. Desenvolvido em parceria com Giovanna Casimiro dentro da Residência Hacker do RedBull Basement com o tema Tecnologia e Cidade.,Interactive urban furniture that lights up by the touch. Developed in partnership with Giovanna Casimiro within the RedBull Basement Hacker Residency with the theme Technology and City.,interafetivos/interafetivos-1,interafetivos/interafetivos-2,interafetivos/interafetivos-3,interafetivos/interafetivos-4,http://interafetivos.info/,interafetivos
Festival Móveis Convida,2016,set,videomapping e interatividade,Instalação com projeção mapeada (videomapping) durante o Festival Móveis Convida. Em parceria com Lucas de Sordi.,Installation with projection mapping (videomapping) during the Festival Mobile Calls. In partnership with Lucas de Sordi.,moveisconvida/moveisconvida-1,moveisconvida/moveisconvida-2,moveisconvida/moveisconvida-3,moveisconvida/moveisconvida-4,#,moveisconvida
Mesa Cyborg,2016,ago,mentoria,Prototipação de próteses dentárias com comunicação sem fio (morse) acoplados ao corpo dos ciborgues Neil Harbisson e Moon Ribas.,Prototyping of dental prostheses with wireless communication (morse) coupled to the body of cyborgs Neil Harbisson and Moon Ribas.,cyborg/cyborg-1,cyborg/cyborg-2,cyborg/cyborg-3,cyborg/cyborg-4,https://mesacyborg.splashthat.com/,cyborg
